seq_ix,r2,mse
479,0.1731108706444502,0.49982699751853943
427,0.17319155484437943,0.5927923917770386
465,0.17442586459219456,0.5455108284950256
61,0.1748548001050949,0.4353902339935303
501,0.1752014085650444,0.6889076232910156
300,0.17537173628807068,0.27495619654655457
249,0.17564213275909424,0.4401930272579193
225,0.17604177817702293,0.820875346660614
452,0.17687661945819855,0.5153687596321106
219,0.17724300920963287,0.27978888154029846
308,0.177435003221035,0.33481156826019287
338,0.1776672638952732,1.9876123666763306
469,0.17771030962467194,0.868895411491394
123,0.17802300117909908,0.5496278405189514
150,0.1782510820776224,0.5555362701416016
391,0.178897587582469,0.5740741491317749
395,0.17935174517333508,0.48698359727859497
504,0.17997931689023972,0.5663031339645386
283,0.1805966142565012,0.5158284902572632
470,0.18143782392144203,0.6708060503005981
347,0.18148335628211498,0.8207281827926636
188,0.1817563660442829,0.7054266929626465
142,0.18322896398603916,0.6198641657829285
254,0.18438198789954185,0.6078256964683533
315,0.1844730358570814,0.43280842900276184
140,0.1848342213779688,0.5528005957603455
500,0.18514236621558666,0.284079909324646
266,0.1860968880355358,0.6712970733642578
167,0.1876012198626995,0.7438949346542358
363,0.18877575173974037,0.8378164768218994
477,0.18994737602770329,0.6875579953193665
156,0.19035826064646244,0.6030272245407104
438,0.19041219167411327,0.5374895930290222
359,0.19065379351377487,0.6465815901756287
380,0.19100700691342354,0.617772102355957
375,0.19217786379158497,0.6806498169898987
291,0.19256897643208504,0.28129813075065613
401,0.19258913211524487,0.8009262681007385
446,0.19381157495081425,2.654249429702759
253,0.19441168010234833,0.3256347179412842
343,0.1960922423750162,0.34871286153793335
471,0.1961355283856392,0.8251432180404663
118,0.1967896018177271,0.44760873913764954
468,0.1971678864210844,0.26390042901039124
88,0.1986025683581829,1.0640872716903687
18,0.19914996810257435,0.6557493805885315
63,0.20010918378829956,0.6599579453468323
12,0.20017222687602043,0.52045077085495
424,0.2003062628209591,0.8795032501220703
481,0.2006836198270321,2.473483085632324
432,0.2012229524552822,0.46350666880607605
290,0.20138840563595295,1.946555256843567
365,0.2039165198802948,0.5361263155937195
229,0.2057083658874035,0.5335471630096436
56,0.2057899720966816,0.7023603320121765
236,0.20631176605820656,0.38994449377059937
116,0.2072955910116434,0.6974404454231262
110,0.20864958688616753,0.765804648399353
203,0.2103140763938427,0.6811060905456543
40,0.2123639825731516,0.8282495141029358
59,0.21306806057691574,0.4979360103607178
178,0.21450607106089592,0.47182363271713257
33,0.21451672352850437,0.46488744020462036
117,0.21510178036987782,0.4375588595867157
